"Gene_symbol","PC_Direction","NASH_Direction"
"SLC26A1","up","down"
"SLC27A5","up","down"
"SLC2A5","down","up"
"SLC30A4","down","up"
"SLC35E2B","up","down"
"SLC35F1","down","up"
"SLC35F5","up","down"
"SLC43A1","up","down"
"SLC43A2","up","down"
"SLC46A1","up","down"
"SLC50A1","up","down"
"SLC51A","up","down"
"SLC6A1","up","down"
"SLC6A2","down","up"
"SLCO1A2","up","down"
"SLCO5A1","down","up"
"SLFN13","down","up"
"SMAP2","up","down"
"SMCR8","up","down"
"SMIM5","down","up"
"SNAP23","up","down"
"SNAP25","down","up"
"SNAPC1","down","up"
"SNAPC4","up","down"
"SNCAIP","down","up"
"SNHG16","up","down"
"SNX22","up","down"
"SNX30","up","down"
"SNX5","up","down"
"SNX7","down","up"
"SOBP","down","up"
"SOWAHB","up","down"
"SOWAHC","down","up"
"SOWAHD","up","down"
"SP100","down","up"
"SPATA18","down","up"
"SPATA6L","down","up"
"SPECC1","down","up"
"SPIB","down","up"
"SPIRE1","up","down"
"SPOCK1","up","down"
"SPON1","down","up"
"SPTBN2","up","down"
"SPTLC2","up","down"
"SPTLC3","down","up"
"SQLE","down","up"
"SRD5A1","up","down"
"SRD5A2","down","up"
"SREBF1","up","down"
"SRM","up","down"
"SSPN","down","up"
"SSTR2","down","up"
"ST6GALNAC2","down","up"
"ST8SIA1","down","up"
"STAB1","up","down"
"STAG3L5P","down","up"
"STAT2","up","down"
"STK35","up","down"
"STK38","down","up"
"STMN3","down","up"
"STPG1","down","up"
"STRIP2","down","up"
"STRN","up","down"
"STT3A","up","down"
"STXBP2","up","down"
"SUCNR1","up","down"
"SUGCT","up","down"
"SULT2B1","down","up"
"SUSD1","up","down"
"SUSD4","down","up"
"SUSD6","up","down"
"SYBU","up","down"
"SYT11","down","up"
"SYT7","down","up"
"TAF10","up","down"
"TAGLN","down","up"
"TARID","down","up"
"TAX1BP3","down","up"
"TBC1D16","up","down"
"TBC1D24","down","up"
"TBC1D4","up","down"
"TBC1D9B","up","down"
"TBCD","up","down"
"TBXAS1","up","down"
"TCEA3","up","down"
"TCEAL4","down","up"
"TCF3","up","down"
"TDRD6","up","down"
"TENM1","down","up"
"TESK2","up","down"
"TGFBRAP1","up","down"
"THOC3","up","down"
"THRB","up","down"
"THUMPD2","down","up"
"TIAF1","down","up"
"TINCR","down","up"
"TJP1","up","down"
"TK2","up","down"
"TLE1","up","down"
"TM4SF18","up","down"
"TMEM116","down","up"
"TMEM131","up","down"
"TMEM150C","up","down"
"TMEM161A","up","down"
"TMEM212","down","up"
"TMEM238","up","down"
"TMEM241","up","down"
"TMEM248","up","down"
"TMEM26","up","down"
"TMEM40","down","up"
"TMEM52","up","down"
"TMEM74B","up","down"
"TMEM86A","up","down"
"TMEM91","down","up"
"TMOD3","up","down"
"TMSB15B","down","up"
"TMTC4","up","down"
"TNFAIP8L1","down","up"
"TNFRSF25","down","up"
"TNFSF10","up","down"
"TNFSF11","down","up"
"TNN","up","down"
"TNS3","up","down"
"TOM1L1","up","down"
"TOMM70","up","down"
"TOP2B","up","down"
"TOP3A","up","down"
"TP53","up","down"
"TP73","down","up"
"TPM1","down","up"
"TPM3","up","down"
"TPP2","up","down"
"TPR","up","down"
"TPRN","up","down"
